segment,model_selector,TOTHH,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,FOOEMPN,GSENROLL,HSENROLL,COLLFTE,COLLPTE
work_low,workplace,0,0.064269919,0.028601005,0.602938343,0.136768751,9.15E-13,0.122487888,0.044934094,0,0,0,0
work_med,workplace,0,6.55E-14,0.2002616,0.487310988,0.056583267,2.37E-22,0.255844145,1.16E-09,0,0,0,0
work_high,workplace,0,8.07E-275,0.256227403,0.359519129,0.178942779,3.86E-297,0.205310689,1.29E-43,0,0,0,0
work_veryhigh,workplace,0,3.30E-165,0.520032835,0.169128839,0.195007841,3.68E-189,0.115830485,1.33E-17,0,0,0,0
university,school,0,0,0,0,0,0,0,0,0,0,1,0
preschool,school,0.07552,0,0,1,1,0,0,0,0,0,0,0
gradeschool,school,0,0,0,0,0,0,0,0,1,0,0,0
highschool,school,0,0,0,0,0,0,0,0,0,1,0,0
escort,non_mandatory,0,0.225,0,0.144,0,0,0,0,0.465,0.166,0,0
shopping,non_mandatory,0,1,0,0,0,0,0,0,0,0,0,0
eatout,non_mandatory,0,0.22313016,0,0,0,0,0,1,0,0,0,0
othmaint,non_mandatory,0,0.482,0,0.518,0,0,0,0,0,0,0,0
social,non_mandatory,0,0.522,0,0.478,0,0,0,0,0,0,0,0
othdiscr,non_mandatory,0.252252252,0.212212212,0,0.272272272,0.165165165,0,0,0,0,0.098098098,0,0
atwork,atwork,0,0.742,0,0.258,0,0,0,0,0,0,0,0
work,trip,0,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0
escort,trip,0.001,0.225,0,0.144,0,0,0,0,0.464,0.166,0,0
shopping,trip,0.001,0.999,0,0,0,0,0,0,0,0,0,0
eatout,trip,0,0.22313016,0,0,0,0,0,1,0,0,0,0
othmaint,trip,0.001,0.481,0,0.518,0,0,0,0,0,0,0,0
social,trip,0.001,0.521,0,0.478,0,0,0,0,0,0,0,0
othdiscr,trip,0.252252252,0.212212212,0,0.272272272,0.165165165,0,0,0,0,0.098098098,0,0
univ,trip,0.000999001,0,0,0,0,0,0,0,0,0,0.591408591,0.407592408
