NodeID,ZoneID,XCoord,YCoord,Capacity,Cost
3720,3752,1244897.11765,91829.9411765,2283,0
3721,3753,1229573.94118,78529.5882353,220,0
3722,3754,1306255.47059,358805.352941,770,0
3723,3755,1289548.11765,76555.8823529,286,0
3724,3756,1281209.0,349503.529412,63,0
3725,3757,1293417.23529,143069.176471,996,0
3726,3758,1293561.05882,114841.823529,614,0
3727,3759,1226006.76471,60314.8823529,600,0
3728,3760,1191507.0,212173.529412,122,0
3729,3761,1276788.23529,73848.1764706,50,0
3730,3762,1261461.58824,110954.941176,600,0
3731,3763,1195569.0,235733.764706,137,0
3732,3764,1320003.88235,237744.529412,170,0
3733,3765,1274505.47059,133006.058824,697,0
3734,3766,1205548.64706,120761.352941,306,0
3735,3767,1357057.76471,273084.705882,40,0
3736,3768,1241443.0,34324.5294118,100,0
3737,3769,1274599.35294,54902.7647059,20,0
3738,3770,1241714.82353,58094.8823529,62,0
3739,3771,1230039.88235,63379.8823529,493,0
3740,3772,1227209.64706,89857.5294118,75,0
3741,3773,1234017.88235,82281.8823529,150,0
3742,3774,1235254.64706,79261.1764706,78,0
3743,3775,1236360.35294,79517.8823529,44,0
3744,3776,1218428.76471,98025.0,195,0
3745,3777,1196476.0,147339.823529,200,0
3746,3778,1223274.0,116127.941176,79,0
3747,3779,1270894.88235,109056.176471,515,0
3748,3780,1402434.88235,316366.058824,58,0
3749,3781,1276219.0,117359.235294,877,0
3750,3782,1294655.35294,120285.235294,358,0
3751,3783,1277270.88235,134296.529412,540,0
3752,3784,1302170.0,262283.764706,40,0
3753,3785,1280136.17647,146263.941176,370,0
3754,3786,1291189.76471,143617.647059,713,0
3755,3787,1268256.23529,174822.352941,334,0
3756,3788,1285434.11765,179203.764706,296,0
3757,3789,1340327.23529,147015.529412,122,0
3758,3790,1299068.76471,175583.176471,373,0
3759,3791,1306688.47059,187922.294118,146,0
3760,3792,1337101.41176,200123.647059,819,0
3761,3793,1295405.76471,217932.0,447,0
3762,3794,1296317.76471,213706.529412,30,0
3763,3795,1305731.0,206148.647059,275,0
3764,3796,1307996.41176,204046.411765,37,0
3765,3797,1310305.23529,208754.176471,75,0
3766,3798,1305596.23529,217050.176471,519,0
3767,3799,1306911.35294,223002.647059,186,0
3768,3800,1314962.0,214630.294118,1614,0
3769,3801,1404279.23529,182373.529412,80,0
3770,3802,1294143.52941,235413.0,51,0
3771,3803,1300643.64706,228186.588235,50,0
3772,3804,1304337.88235,237798.647059,596,0
3773,3805,1319344.88235,233606.588235,203,0
3774,3806,1307423.88235,246839.941176,470,0
3775,3807,1274980.82353,279179.941176,40,0
3776,3808,1322629.82353,249259.0,377,0
3777,3809,1296391.76471,229734.352941,48,0
3778,3810,1237507.76471,158589.882353,55,0
3779,3811,1328062.88235,248646.470588,283,0
3780,3812,1306916.35294,264386.529412,502,0
3781,3813,1307053.76471,273247.352941,443,0
3782,3814,1291701.23529,280912.764706,376,0
3783,3815,1293940.05882,279769.0,603,0
3784,3816,1289668.0,280149.470588,75,0
3785,3817,1303895.0,280014.470588,220,0
3786,3818,1316210.35294,278850.176471,438,0
3787,3819,1269128.58824,193347.764706,99,0
3788,3820,1262383.41176,212305.235294,55,0
3789,3821,1274011.58824,250392.823529,411,0
3790,3822,1272806.23529,259704.941176,1486,0
3791,3823,1273560.70588,271977.647059,68,0
3792,3824,1268241.76471,283391.941176,389,0
3793,3825,1301396.0,330333.529412,397,0
3794,3826,1237980.52941,169093.470588,48,0
3795,3827,1237014.47059,189501.941176,230,0
3796,3828,1276194.88235,290093.352941,819,0
3797,3829,1277717.76471,290340.470588,30,0
3798,3830,1259388.70588,299599.117647,460,0
3799,3831,1272389.52941,297350.823529,255,0
3800,3832,1281146.58824,300810.176471,1371,0
3801,3833,1286143.35294,313630.411765,410,0
3802,3834,1295737.82353,324095.411765,644,0
3803,3835,1329695.88235,342429.176471,104,0
3804,3836,1310195.76471,387057.529412,202,0
3805,3837,1309822.88235,404452.941176,57,0
3806,3838,1308855.05882,423447.588235,32,0
3807,3839,1324358.47059,439029.764706,25,0
3808,3840,1296895.64706,454997.352941,147,0
3809,3841,1355067.11765,318951.117647,103,0
3810,3842,1275433.64706,119455.470588,1198,0
3811,3843,1199521.52941,199829.529412,105,0
3812,3844,1229060.82353,191096.470588,313,0
3813,3845,1197786.11765,231693.941176,99,0
3814,3846,1220654.11765,236417.823529,80,0
3815,3847,1196087.05882,272879.823529,138,0
3816,3848,1212941.29412,265319.352941,62,0
3817,3849,1231599.23529,295747.588235,73,0
3818,3850,1216089.0,272227.294118,56,0
3819,3851,1226898.64706,232138.529412,354,0
3820,3852,1276693.17647,73605.4705882,364,0
3821,3853,1248063.11765,74413.8823529,68,0
3822,3855,1190248.82353,38051.7647059,125,0
3823,3856,1269503.76471,286154.764706,202,0
3824,3857,1270957.35294,279489.705882,116,0
3825,3858,1310844.76471,210430.470588,64,0
3826,3861,1310139.23529,134552.0,172,0
3827,3862,1311171.64706,425068.294118,50,0
3828,3863,1304194.0,337026.529412,173,0
3829,3864,1300004.64706,324200.117647,409,0
3830,3865,1301724.76471,292863.235294,302,0
3831,3866,1268266.17647,289280.352941,25,0
3832,3867,1221044.23529,300895.176471,225,0
3833,3868,1193069.11765,282468.705882,100,0
3834,3870,1224727.76471,188459.470588,44,0
3835,3871,1198002.35294,176010.411765,108,0
3836,3873,1220207.76471,93321.0,95,0
3837,3874,1290519.0,314114.470588,1022,0
3838,3875,1304264.11765,66481.4117647,356,0
3839,3876,1280667.0,172900.0,661,0
3840,3877,1274245.88235,62448.5294118,350,0
3841,3878,1236374.35294,79737.4117647,33,0
3842,3879,1347501.0,201099.941176,1010,0
3843,3880,1329479.23529,366744.117647,207,0
3844,3881,1196439.88235,272023.941176,90,0
3845,3882,1196663.64706,278230.117647,56,0
3846,3883,1367654.47059,194217.058824,53,0
3847,3884,1228806.76471,296203.294118,220,0
3848,3885,1210086.52941,175955.529412,47,0
3849,3886,1198103.76471,210773.823529,566,0
3850,3888,1275840.88235,71116.3529412,219,0
3851,3889,1311241.94118,390154.823529,213,0
3852,3890,1271084.11765,455762.823529,74,0
3853,3891,1310248.88235,386247.411765,74,0
3854,3892,1287436.23529,313478.352941,57,0
3855,3893,1343527.76471,214796.941176,265,0
3856,3894,1300371.23529,178485.235294,200,0
3857,3895,1336918.52941,199604.588235,170,0
3858,3896,1300653.0,178706.294118,150,0
3859,3897,1274675.76471,250981.529412,125,0
3860,3898,1346267.05882,134779.117647,90,0
3861,3899,1278630.52941,133783.882353,75,0
3862,3900,1297591.76471,178329.823529,72,0
3863,3901,1304736.64706,246031.352941,61,0
3864,3902,1343970.0,221902.941176,54,0
3865,3903,1344883.52941,252320.823529,52,0
3866,3904,1302321.11765,192055.529412,50,0
3867,3905,1313320.0,164610.941176,49,0
3868,3906,1273628.82353,268534.823529,46,0
