corridor_name,description,corridor,direction_id,direction,tod,observed_time_2010,observed_time_2014
Everett to Seattle via I-5,Seattle to Everett via I-5,2,1,N,7to8,26.8,
Everett to Seattle via I-5,Everett to Seattle via I-5,2,2,S,7to8,55.4,
Federal Way to Seattle via I-5,Federal Way to Seattle via I-5,3,1,N,7to8,50.3,
Federal Way to Seattle via I-5,Seattle to Federal Way via I-5,3,2,S,7to8,25,
Lynnwood to Bellevue via I-405,Bellevue to Lynnwood via I-405,4,1,N,7to8,17.7,
Lynnwood to Bellevue via I-405,Lynnwood to Bellevue via I-405,4,2,S,7to8,47.9,
Tukwila to Bellevue via I-405,Tukwila to Bellevue via I-405,5,1,N,7to8,31.1,
Tukwila to Bellevue via I-405,Bellevue to Tukwila via I-405,5,2,S,7to8,21.9,
Renton to Auburn via SR 167,Auburn to Renton via SR 167,6,1,N,7to8,21.1,
Renton to Auburn via SR 167,Renton to Auburn via SR 167,6,2,S,7to8,13.3,
Seattle to Redmond via SR 520,Seattle to Redmond via SR 520,7,1,E,7to8,24.3,
Seattle to Redmond via SR 520,Redmond to Seattle via SR 520,7,2,W,7to8,21.5,
Bellevue to Redmond via SR 520,Bellevue to Redmond via SR 520,8,1,N,7to8,7.6,
Bellevue to Redmond via SR 520,Redmond to Bellevue via SR 520,8,2,S,7to8,8.2,
Bellevue to Issaquah via I-90,Bellevue to Issaquah via I-90,9,1,E,7to8,10.5,
Bellevue to Issaquah via I-90,Issaquah to Bellevue via I-90,9,2,W,7to8,15.7,
Bellevue to Seattle via SR 520,Seattle to Bellevue via SR 520,10,1,E,7to8,22.1,
Bellevue to Seattle via SR 520,Bellevue to Seattle via SR 520,10,2,W,7to8,21.2,
Bellevue to Seattle via I-90,Seattle to Bellevue via I-90,11,1,E,7to8,16.8,
Bellevue to Seattle via I-90,Bellevue to Seattle via I-90,11,2,W,7to8,15.4,
Issaquah to Seattle via I-90,Seattle to Issaquah via I-90,12,1,E,7to8,20.4,
Issaquah to Seattle via I-90,Issaquah to Seattle via I-90,12,2,W,7to8,24.8,
Everett to Seattle via I-5,Seattle to Everett via I-5,2,1,N,15to16,51.3,
Everett to Seattle via I-5,Everett to Seattle via I-5,2,2,S,15to16,55.2,
Federal Way to Seattle via I-5,Federal Way to Seattle via I-5,3,1,N,15to16,38.9,
Federal Way to Seattle via I-5,Seattle to Federal Way via I-5,3,2,S,15to16,39.9,
Lynnwood to Bellevue via I-405,Bellevue to Lynnwood via I-405,4,1,N,15to16,28.7,
Lynnwood to Bellevue via I-405,Lynnwood to Bellevue via I-405,4,2,S,15to16,27.2,
Tukwila to Bellevue via I-405,Tukwila to Bellevue via I-405,5,1,N,15to16,28.2,
Tukwila to Bellevue via I-405,Bellevue to Tukwila via I-405,5,2,S,15to16,37.7,
Renton to Auburn via SR 167,Auburn to Renton via SR 167,6,1,N,15to16,17.4,
Renton to Auburn via SR 167,Renton to Auburn via SR 167,6,2,S,15to16,28.6,
Seattle to Redmond via SR 520,Seattle to Redmond via SR 520,7,1,E,15to16,31.1,
Seattle to Redmond via SR 520,Redmond to Seattle via SR 520,7,2,W,15to16,45.7,
Bellevue to Redmond via SR 520,Bellevue to Redmond via SR 520,8,1,N,15to16,11.2,
Bellevue to Redmond via SR 520,Redmond to Bellevue via SR 520,8,2,S,15to16,23.8,
Bellevue to Issaquah via I-90,Bellevue to Issaquah via I-90,9,1,E,15to16,19.6,
Bellevue to Issaquah via I-90,Issaquah to Bellevue via I-90,9,2,W,15to16,14.6,
Bellevue to Seattle via SR 520,Seattle to Bellevue via SR 520,10,1,E,15to16,29.9,
Bellevue to Seattle via SR 520,Bellevue to Seattle via SR 520,10,2,W,15to16,36.5,
Bellevue to Seattle via I-90,Seattle to Bellevue via I-90,11,1,E,15to16,21.6,
Bellevue to Seattle via I-90,Bellevue to Seattle via I-90,11,2,W,15to16,30.2,
Issaquah to Seattle via I-90,Seattle to Issaquah via I-90,12,1,E,15to16,25.5,
Issaquah to Seattle via I-90,Issaquah to Seattle via I-90,12,2,W,15to16,34.8,
